playerId,Name,seasonId,teamAbbrev,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,pim,toi,games,ppg,gpg,apg,spg,positionCode,team_points,team_wins,std_ppg
8477989,Christian Dvorak,20162017,ARI,15,18,33,7,2,5,1,0,88,1533,0,0,22,15.616666666666665,78,0.4230769230769231,0.19230769230769232,0.23076923076923078,1.1282051282051282,C,70,30,-0.09824963237088091
8474149,Evgenii Dadonov,20102011,FLA,8,9,17,0,1,1,0,0,60,686,0,0,14,14.254166666666666,36,0.4722222222222222,0.2222222222222222,0.25,1.6666666666666667,RW,72,30,-0.11505532255833796
8482109,Alexis Lafrenière,20202021,NYR,12,9,21,-7,0,0,4,1,67,1020,0,0,8,13.882440476190476,56,0.375,0.21428571428571427,0.16071428571428573,1.1964285714285714,LW,60,27,-0.13858281650039847
8480074,Alexandre Texier,20192020,CBJ,6,7,13,3,0,1,1,1,49,599,0,0,10,12.748148148148148,36,0.3611111111111111,0.16666666666666666,0.19444444444444445,1.3611111111111112,C,81,33,-0.15079934402861236
8476960,Andreas Athanasiou,20152016,DET,9,5,14,1,0,0,1,0,53,518,1,1,5,9.017567567567568,37,0.3783783783783784,0.24324324324324326,0.13513513513513514,1.4324324324324325,C,93,41,-0.15771870646543923
8481523,Kirby Dach,20192020,CHI,8,15,23,-1,0,3,2,0,101,1103,0,0,24,14.265625,64,0.359375,0.125,0.234375,1.578125,C,72,32,-0.16131360781394966
8480802,Ryan McLeod,20212022,EDM,9,12,21,-2,2,5,1,0,82,1239,0,0,12,12.760093896713615,71,0.29577464788732394,0.1267605633802817,0.16901408450704225,1.1549295774647887,C,104,49,-0.1696187777148446
8482720,Matthew Knies,20232024,TOR,8,9,17,2,0,2,1,0,56,804,0,0,21,14.259090909090908,44,0.38636363636363635,0.18181818181818182,0.20454545454545456,1.2727272727272727,LW,58,25,-0.173017661565267
8480205,Emil Bemstrom,20192020,CBJ,10,10,20,-10,5,8,4,1,97,907,0,0,8,12.268749999999999,56,0.35714285714285715,0.17857142857142858,0.17857142857142858,1.7321428571428572,RW,81,33,-0.17483194696652618
8479353,Brett Howden,20182019,NYR,6,17,23,-16,0,2,1,0,74,1322,0,0,14,14.938636363636364,66,0.3484848484848485,0.09090909090909091,0.25757575757575757,1.121212121212121,C,78,32,-0.1764124213321101
8481032,Paul Cotter,20222023,VGK,13,5,18,-5,0,0,1,0,76,864,0,0,15,12.826969696969698,55,0.32727272727272727,0.23636363636363636,0.09090909090909091,1.3818181818181818,C,111,51,-0.18352613699767995
8479316,Luke Kunin,20182019,MIN,6,11,17,-9,0,1,1,0,88,1014,0,0,27,15.885374149659864,49,0.3469387755102041,0.12244897959183673,0.22448979591836735,1.7959183673469388,C,83,37,-0.18555744263618243
8480448,Parker Kelly,20212022,OTT,7,5,12,-4,0,0,0,0,48,669,0,0,60,10.575609756097561,41,0.2926829268292683,0.17073170731707318,0.12195121951219512,1.170731707317073,LW,73,33,-0.1857014004843578
